Flipon	Coordinates	Gene Name	Gene Strand	Gene Feature	miRNA (+)	miRNA (-)	miRNA (intersection)	cCRE (+-200bp)	LINE/LTR (+-200bp)	Feature Group
sidd	chr16:16111427-16111664	Gm18334	+	Intron	miR-340 (1), miR-409 (1), miR-495 (1)	miR-154 (1), miR-369 (1), miR-374 (1)		dELS@EM10E0616712	LTR@ORR1A0(+), LTR@RLTR9D(+)	cCRE & LINE/LTR
sidd	chr16:16123369-16123537	Spidr	-	Intron	miR-216b (1)	miR-340 (1)			LTR@MTA_Mm(-), LTR@MTA_Mm-int(-)	LINE/LTR
sidd	chr16:16289720-16289854	Yars2	+	Distal Intergenic		miR-203a (2), miR-31 (1)			LTR@RLTR34D_MM(-), LINE@L1_Mus3(-)	LINE/LTR
sidd	chr16:16376742-16376890	Gm18869	+	Promoter (2-3kb)	miR-203a (1), miR-28/708 (1), miR-369 (1), miR-539 (1), miR-655 (1), miR-665 (1)	miR-495 (1), miR-496 (1)			LTR@RLTR44A(-), LTR@RLTR44A(-), LTR@RLTR47(-)	LINE/LTR
sidd	chr16:16385647-16385771	CT573014.1	+	Promoter (2-3kb)	miR-133 (1)	miR-374 (1)			LINE@Lx(-), LINE@L1_Mus4(-)	LINE/LTR
sidd	chr16:16398840-16398951	CT573014.1	+	Distal Intergenic		miR-133 (2), miR-186 (1), miR-203a (2), miR-340 (1)			LINE@L1Md_T(-), LINE@L1_Mus1(-)	LINE/LTR
sidd	chr16:16533847-16534020	Fgd4	-	Intron	miR-122 (1), miR-374 (1)	miR-137 (1), miR-190 (1), miR-323a (1)			LINE@Lx3_Mus(+), LTR@RLTR33(+)	LINE/LTR
sidd	chr16:16554962-16555099	Fgd4	-	Intron	miR-142 (1), miR-203a (2), miR-532 (1)				LINE@L1_Mus1(+), LINE@L1M2(+)	LINE/LTR
sidd	chr16:16652403-16652521	Gm44932	-	Distal Intergenic	miR-203a (1)	miR-129 (1), miR-153 (1), miR-670 (1)			LINE@L1Md_F2(+), LINE@L1Md_F2(+)	LINE/LTR
sidd	chr16:16738886-16739091	4933404G15Rik	-	Distal Intergenic	miR-203a (2), miR-30 (1)				LINE@Lx2(+), LINE@Lx2(+)	LINE/LTR
sidd	chr16:16810870-16811072	Rpl31-ps12	-	Intron	miR-329/362 (1), miR-33 (1)	miR-216b (1), miR-217 (1)			LINE@L1_Rod(-), LINE@L1_Mus2(-)	LINE/LTR
sidd	chr16:16955651-16955758	Gm6438	+	Distal Intergenic	miR-125 (1)	miR-216a (1)			LINE@Lx3B(+), LINE@Lx2B2(+), LTR@MTB(-)	LINE/LTR
sidd	chr16:17597062-17597192	Slc7a4	-	Distal Intergenic		miR-182 (1), miR-203a (2), miR-876 (1)			LINE@L1_Mus1(-), LINE@L1_Mus1(-)	LINE/LTR
sidd	chr16:17659101-17659288	Med15	-	Intron	miR-188 (1), miR-204/211 (1), miR-216b (1)	miR-142 (1), miR-340 (1)			LTR@MTA_Mm(-), LTR@MTA_Mm-int(-)	LINE/LTR
sidd	chr16:18088627-18088751	Prodh	-	Promoter (<=1kb)	miR-873 (1)			pELS (CTCF-bound)@EM10E0617275, pELS (CTCF-bound)@EM10E0617276		cCRE & CTCF
sidd	chr16:18195396-18195499	4933432I09Rik	-	Distal Intergenic	miR-134 (1), miR-760 (1)	miR-136 (1), miR-15/16/195/424/497 (1), miR-670 (1)		dELS@EM10E0617331		cCRE
sidd	chr16:18349125-18349244	Arvcf	+	Promoter (<=1kb)	miR-135 (1)	miR-653 (1)		pELS (CTCF-bound)@EM10E0617392		cCRE & CTCF
sidd	chr16:18388959-18389052	Arvcf	+	Intron		miR-33 (1)		dELS@EM10E0617413		cCRE
sidd	chr16:18554790-18554950	Gnb1l	+	Intron	miR-143 (1), miR-150 (1), miR-499 (1)	miR-378a (1), miR-411 (1)		dELS@EM10E0617511		cCRE
sidd	chr16:18586143-18586264	Tbx1	-	Promoter (<=1kb)	miR-135 (1), miR-193 (1)			pELS@EM10E0617526, pELS@EM10E0617527		cCRE
sidd	chr16:18590945-18591058	Tbx1	-	Promoter (<=1kb)		miR-21/590 (1)		PLS (CTCF-bound)@EM10E0617537		cCRE & CTCF
sidd	chr16:18645261-18645395	Septin5	-	Distal Intergenic	miR-140 (1), miR-383 (1), miR-491 (1)	miR-15/16/195/424/497 (1), miR-194 (1), miR-379 (1), miR-452 (1), miR-493 (1)				
sidd	chr16:18710136-18710363	Rps2-ps7	-	Distal Intergenic	miR-27 (1), miR-582 (1), miR-655 (1)	miR-140 (1), miR-325 (2)			LTR@RLTR17(-), LTR@MLTR31F_MM(-)	LINE/LTR
sidd	chr16:19070442-19070583	Iglj3	-	Intron	miR-26 (1), miR-340 (1), miR-361 (1)				LINE@L1Md_F(+), LTR@RLTR10(-)	LINE/LTR
sidd	chr16:19071070-19071175	Iglj3	-	Intron		miR-203a (1), miR-379 (1)			LTR@RLTR10(-), LINE@L1Md_F3(-), LTR@RLTR10-int(-)	LINE/LTR
sidd	chr16:19088769-19088906	Iglv1	-	Intron	miR-150 (1), miR-670 (1)	miR-203a (1)			LINE@L1Md_F2(-)	LINE/LTR
sidd	chr16:19161081-19161330	Gm18748	-	Distal Intergenic	miR-134 (1), miR-410 (1), miR-495 (1)	miR-374 (1), miR-411 (1)			LTR@ERVB7_1-LTR_MM(-), LINE@L1_Mur3(+)	LINE/LTR
sidd	chr16:19298824-19299013	Gm22158	+	Intron	miR-151a (1), miR-26 (1), miR-361 (1)				LTR@IAPEY_LTR(-), LINE@Lx(+)	LINE/LTR
sidd	chr16:19351969-19352146	Gm23612	+	Distal Intergenic	miR-135 (1)	miR-132/212 (1), miR-421 (1), miR-496 (1)			LINE@L1Md_F2(+)	LINE/LTR
sidd	chr16:19538977-19539113	Olfr168	-	Distal Intergenic	miR-182 (1), miR-203a (2)				LINE@L1_Mus1(+), LINE@Lx7(-), LTR@IAPEY_LTR(+)	LINE/LTR
sidd	chr16:19553467-19553590	Olfr169	-	Distal Intergenic	miR-216b (1)	miR-299 (1)			LTR@ETnERV-int(-)	LINE/LTR
sidd	chr16:19580746-19580869	Olfr169	-	Distal Intergenic		miR-155 (1)			LTR@MTD(+), LINE@Lx9(-), LINE@L1Md_T(+)	LINE/LTR
sidd	chr16:19690414-19690537	Lamp3	-	Intron	miR-203a (2)				LINE@L1_Mus3(+)	LINE/LTR
sidd	chr16:19899063-19899278	A930003A15Rik	-	Distal Intergenic	miR-101 (1), miR-183 (1), miR-409 (1), miR-655 (1)	miR-1/206 (1), miR-455 (1)			LTR@ORR1A4(-), LTR@ORR1E-int(-)	LINE/LTR
sidd	chr16:19917366-19917519	A930003A15Rik	-	Distal Intergenic	miR-1/206 (1), miR-186 (1), miR-488 (1)				LINE@Lx3_Mus(+)	LINE/LTR
sidd	chr16:20013294-20013452	Klhl6	-	Distal Intergenic		miR-218 (1), miR-494 (1), miR-499 (1), miR-653 (1)			LTR@MTB_Mm(-), LTR@RLTR17D_Mm(+), LTR@RLTR17B_Mm(+)	LINE/LTR
sidd	chr16:20024297-20024531	Klhl6	-	Distal Intergenic	miR-186 (1), miR-192/215 (1), miR-383 (1)	miR-143 (1)			LINE@L1Md_A(+)	LINE/LTR
sidd	chr16:20060801-20060886	Klhl24	+	Distal Intergenic		miR-499 (1)			LTR@RLTR20A(+), LTR@ORR1A1(-)	LINE/LTR
sidd	chr16:20361467-20361606	Abcc5	-	Promoter (2-3kb)	miR-200bc/429 (1), miR-216a (1)	miR-101 (1), miR-144 (1)			LINE@Lx9(+), LINE@Lx9(+), LTR@RLTR9E(+)	LINE/LTR
sidd	chr16:20443534-20443681	Gm23332	+	Promoter (1-2kb)	miR-214 (1), miR-340 (1), miR-873 (1)	miR-140 (1), miR-144 (1), miR-199 (1), miR-499 (1)			LTR@ORR1C1(+)	LINE/LTR
sidd	chr16:20601190-20601321	Vwa5b2	+	Promoter (1-2kb)	miR-379 (1)	miR-216a (1), miR-379 (1), miR-489 (1), miR-758 (1)	miR-379			
sidd	chr16:20843938-20844066	Rps10-ps2	-	Distal Intergenic	miR-204/211 (1)	miR-203a (1), miR-30 (1)			LTR@MYSERV6-int(-), LTR@MYSERV-int(-), LINE@Lx2(-), LINE@Lx2(-)	LINE/LTR
sidd	chr16:20900069-20900188	Gm49742	-	Distal Intergenic	miR-183 (1), miR-188 (1), miR-324 (1), miR-96/1271 (1)	miR-340 (1), miR-409 (1)			LTR@RMER17C(+), LTR@RMER17C-int(+)	LINE/LTR
sidd	chr16:20999114-20999282	Gm18770	+	Distal Intergenic	miR-188 (1), miR-204/211 (1), miR-873 (1)	miR-193 (1), miR-490 (1)			LTR@MTA_Mm(+)	LINE/LTR
sidd	chr16:21089870-21090001	Gm9697	+	Distal Intergenic	miR-142 (1), miR-203a (2)	miR-188 (1), miR-204/211 (1)			LINE@L1_Mus4(+), LTR@MMERVK10D3_I-int(+)	LINE/LTR
sidd	chr16:21227875-21228002	Ephb3	+	Distal Intergenic	miR-22 (1), miR-325 (1), miR-488 (1), miR-758 (1), miR-873 (1)	miR-216a (1), miR-9 (2)			LTR@RMER15(-)	LINE/LTR
sidd	chr16:21612870-21612999	Vps8	+	Intron	miR-143 (1), miR-186 (1), miR-433 (1), miR-876 (1)	miR-136 (1)				
sidd	chr16:21635100-21635223	Vps8	+	Intron	miR-26 (1), miR-329/362 (1)	miR-203a (2), miR-452 (1)			LINE@Lx2(-)	LINE/LTR
sidd	chr16:22517623-22517731	9230117E06Rik	+	Exon	miR-302abd (1), miR-302c (1), miR-544a (1)	miR-452 (1)		dELS@EM10E0618644, dELS (CTCF-bound)@EM10E0618645		cCRE & CTCF
sidd	chr16:22790481-22790557	Crygs	-	Distal Intergenic	miR-423 (1)					
sidd	chr16:22799517-22799742	Crygs	-	Distal Intergenic	miR-1/206 (1), miR-140 (1), miR-376ab (1)	miR-203a (1), miR-216a (1), miR-28/708 (1), miR-543 (1)				
sidd	chr16:22882665-22882788	Ahsg	+	Intron	miR-495 (2)	miR-665 (1)			LTR@ORR1C1(-)	LINE/LTR
sidd	chr16:22961594-22961712	Hrg	+	3' UTR	miR-539 (1), miR-9 (1)				LTR@MTB_Mm(-)	LINE/LTR
sidd	chr16:23004242-23004474	Kng2	-	Intron	miR-374 (1), miR-425 (1), miR-448 (2), miR-490 (1)	miR-410 (1), miR-448 (1), miR-670 (1)	miR-448		LINE@L1Md_F2(+)	LINE/LTR
sidd	chr16:23384065-23384235	Gm23430	-	Distal Intergenic		miR-27 (1), miR-496 (1)		DNase-H3K4me3@EM10E0618994		cCRE
sidd	chr16:23550367-23550501	Gm45338	+	Intron	miR-203a (2)			CTCF-only (CTCF-bound)@EM10E0619043	LINE@L1_Mus1(+)	LINE/LTR & CTCF
sidd	chr16:23666614-23666761	Gm6640	-	Distal Intergenic	miR-135 (2), miR-361 (1)	miR-21/590 (1), miR-379 (1)			LTR@MT2B1(-), LTR@MT2B1(-)	LINE/LTR
sidd	chr16:23821756-23821884	Gm49516	+	Distal Intergenic		miR-125 (1)			LINE@L1_Mus3(+)	LINE/LTR
sidd	chr16:23844506-23844643	Gm49516	+	Distal Intergenic	miR-17/20/93/106/519d (1), miR-203a (2), miR-488 (1)	miR-124 (1), miR-204/211 (1)			LINE@Lx(+)	LINE/LTR
sidd	chr16:23882634-23882774	Sst	-	Distal Intergenic	miR-381 (1)	miR-329/362 (1)			LINE@Lx8(+), LTR@RLTR13B4(+)	LINE/LTR
sidd	chr16:24651284-24651531	Lpp	+	Intron	miR-203a (2), miR-26 (1), miR-330 (1), miR-371 (290) (1)	miR-379 (1), miR-802 (1), miR-9 (1)			LINE@L1_Mus3(+)	LINE/LTR
sidd	chr16:24957997-24958172	Gm22672	+	Intron	miR-186 (1), miR-339 (1)	miR-376c (1), miR-379 (1), miR-381 (1), miR-539 (1)				
sidd	chr16:24969186-24969309	Gm22672	+	Intron	miR-122 (1)				LINE@L1Md_F2(+)	LINE/LTR
sidd	chr16:25137034-25137169	A230028O05Rik	+	Distal Intergenic		miR-340 (1), miR-421 (1)			LINE@L1_Mus3(-)	LINE/LTR
sidd	chr16:25400673-25400837	Gm18896	-	Intron	miR-203a (2)	miR-493 (1)		dELS@EM10E0619539	LINE@L1_Mus4(+)	cCRE & LINE/LTR
sidd	chr16:25432023-25432145	Gm18896	-	Distal Intergenic	miR-124 (1), miR-142 (1), miR-217 (1), miR-340 (1)	miR-142 (1)	miR-142		LTR@IAPEY_LTR(-)	LINE/LTR
sidd	chr16:25739694-25739859	Gm27005	+	Intron	miR-142 (1), miR-376ab (1)	miR-101 (1), miR-139 (1), miR-141/200a (1)			LINE@L1Md_F2(+)	LINE/LTR
sidd	chr16:25937977-25938162	Gm4524	+	Distal Intergenic	miR-203a (1), miR-221/222 (1)	miR-124 (2), miR-411 (1)			LINE@L1MC2(-), LTR@ORR1A3(-)	LINE/LTR
sidd	chr16:26244658-26244779	Cldn1	-	Distal Intergenic	miR-21/590 (1), miR-374 (1)	miR-142 (1), miR-340 (2)			LINE@L1Md_A(-), LINE@Lx7(+)	LINE/LTR
sidd	chr16:26317175-26317331	Cldn1	-	Distal Intergenic	miR-146 (1), miR-27 (1)	miR-129 (1)			LINE@L1Md_T(+)	LINE/LTR
sidd	chr16:26372028-26372241	Cldn1	-	Promoter (<=1kb)	miR-203a (1)	miR-129 (1), miR-185 (1), miR-200bc/429 (1), miR-203a (1), miR-302abd (1)	miR-203a	PLS (CTCF-bound)@EM10E0619714		cCRE & CTCF
sidd	chr16:26910096-26910253	Gmnc	-	Distal Intergenic	miR-190 (1)				LINE@L1_Mus1(+), LTR@MTE2b(-), LTR@MT2B1(-), LTR@ORR1A3-int(-), LTR@MERVL_2A-int(-)	LINE/LTR
sidd	chr16:27117459-27117617	Gmnc	-	Distal Intergenic	miR-216b (1), miR-27 (1)				LTR@MTA_Mm(-), LTR@MTA_Mm-int(-)	LINE/LTR
sidd	chr16:27129099-27129238	Gmnc	-	Distal Intergenic	miR-496 (1), miR-670 (1)	miR-142 (1), miR-186 (1)			LINE@Lx(-)	LINE/LTR
sidd	chr16:27222393-27222604	Ostn	+	Distal Intergenic	miR-146 (1), miR-495 (1)	miR-216a (1), miR-409 (2)			LINE@L1MB5(+), LINE@L1MB5(+), LTR@ORR1A1(+)	LINE/LTR
sidd	chr16:27357639-27357790	Uts2b	-	Intron	miR-124 (1)	miR-203a (2), miR-532 (1)			LTR@MLT1H-int(+), LINE@L1_Mus2(-)	LINE/LTR
sidd	chr16:27379572-27379732	Ccdc50	+	Distal Intergenic	miR-200bc/429 (1)	miR-181 (1), miR-203a (2), miR-205 (1), miR-543 (1)			LTR@LTR40a(+), LINE@L1_Mus3(-)	LINE/LTR
sidd	chr16:27591548-27591663	Ccdc50	+	Distal Intergenic	miR-101 (2), miR-1249 (1), miR-144 (2), miR-361 (1), miR-409 (1)	miR-670 (1)			LINE@L1Md_A(+)	LINE/LTR
sidd	chr16:27643418-27643609	Gm18234	-	Distal Intergenic	miR-101 (1), miR-1193 (1), miR-144 (1), miR-299 (1), miR-374 (1), miR-382 (1), miR-491 (1)	miR-155 (1), miR-200bc/429 (1), miR-369 (1), miR-374 (4), miR-379 (1), miR-382 (1), miR-410 (1), miR-655 (1)	miR-374, miR-382		LINE@L1_Mus2(+)	LINE/LTR
sidd	chr16:27691417-27691583	Gm18234	-	Distal Intergenic	miR-361 (1), miR-374 (1), miR-670 (1)	miR-875 (1)			LINE@L1Md_F2(+)	LINE/LTR
sidd	chr16:27747601-27747711	Gm18234	-	Distal Intergenic	miR-203a (2)				LINE@L1_Mus2(+), LINE@L1_Mus3(+)	LINE/LTR
sidd	chr16:27928741-27928898	Gm49765	-	Distal Intergenic	miR-200bc/429 (1), miR-490 (1)	miR-144 (1)			LINE@L1_Mus4(-)	LINE/LTR
sidd	chr16:28522930-28523055	Fgf12	-	Intron	miR-448 (1)	miR-203a (2), miR-376ab (1)			LINE@L1_Mus2(-)	LINE/LTR
sidd	chr16:28715154-28715274	Fgf12	-	Intron	miR-203a (2)				LINE@Lx2(+), LINE@L1M4c(+)	LINE/LTR
sidd	chr16:28756469-28756617	Fgf12	-	Distal Intergenic		miR-203a (2)			LINE@L1_Mus3(-)	LINE/LTR
sidd	chr16:28791315-28791478	Fgf12	-	Distal Intergenic	miR-653 (1)	miR-452 (1)			LTR@ORR1A2(+), LINE@Lx9(+)	LINE/LTR
sidd	chr16:29221241-29221395	Plaat1	+	Intron	miR-124 (1), miR-142 (1), miR-182 (1), miR-340 (1), miR-532 (1), miR-544a (1), miR-760 (1)	miR-495 (1)				
sidd	chr16:29318314-29318473	Gm15752	-	Intron	miR-132/212 (1), miR-323a (1)	miR-151a (1), miR-582 (1)			LTR@ORR1B1(-), LTR@ORR1B1-int(-)	LINE/LTR
sidd	chr16:29451312-29451452	Atp13a4	-	Intron	miR-203a (2)				LINE@L1_Mus1(-), LINE@L1_Mus1(+), LINE@Lx8b(+)	LINE/LTR
sidd	chr16:29513788-29513972	AC175464.1	+	Intron	miR-216a (1), miR-224 (1), miR-323a (1), miR-376c (1), miR-411 (1)	miR-125 (1), miR-374 (1), miR-410 (1), miR-874 (1)			LTR@RLTR13D5(+)	LINE/LTR
sidd	chr16:30279722-30279848	Lrrc15	-	Intron	miR-154 (1), miR-342 (3), miR-377 (3), miR-539 (2)				LTR@RLTR20A4(-)	LINE/LTR
sidd	chr16:30632305-30632453	Fam43a	+	Distal Intergenic	miR-190 (1)	miR-140 (1), miR-374 (1), miR-376c (1), miR-539 (1)			LTR@MT2A(-)	LINE/LTR
sidd	chr16:30918523-30918646	Gm46565	-	Intron	miR-186 (1)	miR-140 (1), miR-202 (1), miR-875 (1)			LTR@RMER17C(-)	LINE/LTR
sidd	chr16:30919554-30919678	Gm46565	-	Intron	miR-19 (1), miR-653 (1)				LTR@RMER13B(-), LTR@RLTR1B(+)	LINE/LTR
sidd	chr16:31053187-31053306	Xxylt1	-	Intron	miR-1197 (1), miR-340 (1)	miR-155 (1)				
sidd	chr16:31548461-31548575	Gm46560	+	Distal Intergenic	miR-210 (1), miR-30 (1), miR-495 (1)				LTR@RLTR17B_Mm(+), LTR@IAPEY2_LTR(-)	LINE/LTR
sidd	chr16:33979745-33979869	Kalrn	-	Promoter (1-2kb)	miR-379 (1)	miR-153 (1)			LTR@RLTR25B(+)	LINE/LTR
sidd	chr16:34235373-34235506	Kalrn	-	Exon	miR-103/107 (1)	miR-409 (1)		dELS@EM10E0622022		cCRE
sidd	chr16:34445267-34445430	Kalrn	-	Intron		miR-202 (1), miR-410 (1)			LTR@MTB(-)	LINE/LTR
sidd	chr16:34578723-34578889	Kalrn	-	Distal Intergenic	miR-190 (1)	miR-371 (290) (1), miR-374 (1)			LINE@L1MD(+), LTR@MLT1B(+), LTR@ORR1A4(+)	LINE/LTR
sidd	chr16:34700739-34700880	Ccdc14	+	Intron	miR-143 (1)	miR-142 (1), miR-340 (1), miR-361 (1)				
sidd	chr16:35286850-35287003	Gm49702	+	Promoter (2-3kb)	miR-505 (2)	miR-142 (1), miR-153 (1)			LINE@Lx2(+), LTR@MTD(+)	LINE/LTR
sidd	chr16:35520662-35520781	1600019K03Rik	-	Distal Intergenic		miR-203a (2)			LTR@MLT1L(-), LTR@MLT1L(-), LINE@L1Md_F2(-)	LINE/LTR
sidd	chr16:36167509-36167751	Gm22885	-	Distal Intergenic	miR-134 (1)	miR-142 (1), miR-154 (1), miR-369 (1), miR-381 (1), miR-655 (1)			LTR@MYSERV6-int(-), LTR@RLTR45(+)	LINE/LTR
sidd	chr16:36220521-36220649	Csta2	+	Promoter (<=1kb)	miR-216b (1)	miR-299 (1)			LTR@ETnERV-int(-)	LINE/LTR
sidd	chr16:36317046-36317174	Gm49647	+	Promoter (1-2kb)	miR-542 (1)	miR-203a (2), miR-668 (1)			LTR@MYSERV6-int(-), LINE@L1_Mus1(-)	LINE/LTR
sidd	chr16:36425914-36426067	Gm49652	-	Distal Intergenic	miR-134 (1), miR-186 (1), miR-494 (1)	miR-455 (1)			LINE@Lx2B2(+)	LINE/LTR
sidd	chr16:36444178-36444362	Gm25903	+	Distal Intergenic	miR-141/200a (1), miR-330 (1), miR-381 (1), miR-433 (1)	miR-218 (1)			LINE@Lx3_Mus(+)	LINE/LTR
sidd	chr16:36737848-36737985	Gm8538	+	Promoter (2-3kb)	miR-22 (1), miR-34/449 (1), miR-653 (1)	miR-194 (1), miR-31 (1), miR-376c (1), miR-876 (1)			LINE@Lx4A(+)	LINE/LTR
sidd	chr16:36797240-36797363	Gm22617	+	Intron		miR-203a (2)			LTR@ORR1A3-int(-), LINE@L1_Mus1(-)	LINE/LTR
sidd	chr16:37357798-37357951	Gm49567	+	Intron	miR-203a (2), miR-21/590 (1)	miR-137 (1)			LINE@Lx(+), LINE@Lx8(+)	LINE/LTR
sidd	chr16:37547386-37547511	Gm49569	+	Promoter (1-2kb)	miR-670 (2)	miR-203a (1)			LINE@L1_Mus3(-), LINE@L1Md_F2(-)	LINE/LTR
sidd	chr16:37744230-37744414	Fstl1	+	Distal Intergenic		miR-144 (1), miR-203a (3), miR-876 (1)			LINE@L1_Mus3(-)	LINE/LTR
sidd	chr16:37928108-37928311	Gpr156	+	Intron	miR-203a (1), miR-409 (1), miR-655 (1)	miR-19 (1), miR-224 (1)			LTR@ORR1A4(+)	LINE/LTR
sidd	chr16:37999277-37999368	Gm25140	+	Intron	miR-135 (1)				LINE@L2b(+), LTR@ORR1A2(-), LTR@ORR1A2(-)	LINE/LTR
sidd	chr16:38334328-38334506	Maats1	-	Intron	miR-374 (2), miR-410 (1)	miR-194 (1)			LTR@ERVB7_4-LTR_MM(+)	LINE/LTR
sidd	chr16:38671365-38671471	Gm15530	-	Intron	miR-190 (1), miR-374 (1)	miR-361 (1)			LINE@L3(+)	LINE/LTR
sidd	chr16:38743391-38743638	B4galt4	+	Promoter (1-2kb)	miR-448 (1)	miR-203a (2)			LINE@L1_Mus1(-)	LINE/LTR
sidd	chr16:38868207-38868353	Igsf11	+	Intron	miR-29 (1), miR-330 (1)	miR-218 (1)			LTR@MurERV4_19-int(+), LINE@Lx(+)	LINE/LTR
sidd	chr16:38902800-38902963	Igsf11	+	Promoter (<=1kb)	miR-140 (1), miR-186 (1), miR-30 (1), miR-382 (1), miR-450a (1), miR-495 (1)	miR-142 (1), miR-154 (1), miR-203a (2), miR-448 (1)		pELS@EM10E0623407		cCRE
sidd	chr16:38979862-38979993	Gm22500	+	Intron		miR-203a (2), miR-495 (2)			LTR@RMER17A2(+), LINE@L1_Mus1(-)	LINE/LTR
sidd	chr16:39054006-39054130	Gm22500	+	Distal Intergenic		miR-143 (1), miR-203a (2), miR-542 (1), miR-873 (1)			LTR@MLT1B(-), LINE@L1_Mus4(-)	LINE/LTR
sidd	chr16:39101660-39101795	Gm36742	-	Distal Intergenic	miR-185 (1)	miR-325 (1)			LINE@Lx(+)	LINE/LTR
sidd	chr16:39145478-39145619	Gm36742	-	Distal Intergenic	miR-505 (1)	miR-203a (2), miR-409 (1), miR-423 (1)			LINE@Lx3_Mus(-)	LINE/LTR
sidd	chr16:39220734-39220864	Gm36742	-	Distal Intergenic	miR-203a (2), miR-425 (1)	miR-670 (1)			LINE@L1Md_F2(+), LTR@LTR40a(+)	LINE/LTR
sidd	chr16:39315139-39315280	Gm36742	-	Distal Intergenic		miR-203a (2), miR-30 (1)			LINE@L1_Mus3(-)	LINE/LTR
sidd	chr16:39385705-39385922	Gm36903	+	Distal Intergenic	miR-142 (1), miR-203a (1), miR-340 (1)	miR-142 (1), miR-186 (1), miR-361 (1), miR-543 (1), miR-670 (1)	miR-142		LINE@L1Md_F2(+), LINE@L1_Mus3(-), LINE@L1_Mus2(+)	LINE/LTR
sidd	chr16:39499368-39499513	Gm24795	+	Distal Intergenic	miR-143 (1), miR-203a (1), miR-543 (1)				LINE@L1Md_A(+)	LINE/LTR
sidd	chr16:39642545-39642738	Gm24795	+	Distal Intergenic	miR-186 (1), miR-376ab (1), miR-376c (1), miR-653 (1)	miR-369 (1)			LTR@RLTR44A(+)	LINE/LTR
sidd	chr16:39776529-39776669	Gm8609	+	Distal Intergenic		miR-196 (1), miR-203a (2)			LINE@Lx9(-), LINE@Lx9(+), LINE@L1_Mus3(-), LINE@Lx9(+)	LINE/LTR
sidd	chr16:39916700-39916855	Gm8609	+	Distal Intergenic	miR-31 (1)				LINE@Lx(+)	LINE/LTR
sidd	chr16:40493257-40493419	Gm27887	-	Intron	miR-203a (2)	miR-204/211 (1), miR-325 (1)			LINE@L1_Mus2(+), LTR@RLTR31_Mm(-)	LINE/LTR
sidd	chr16:40493616-40493740	Gm27887	-	Intron	miR-216a (1)	miR-203a (2)			LTR@RLTR31_Mm(-), LINE@L1_Mus2(-)	LINE/LTR
sidd	chr16:40951256-40951429	Gm27717	-	Intron		miR-216b (1)			LTR@MTA_Mm-int(+), LTR@MTA_Mm(+)	LINE/LTR
sidd	chr16:41861162-41861273	Lsamp	+	Intron	miR-186 (1), miR-216a (1)	miR-140 (1)			LINE@L1Md_A(-)	LINE/LTR
sidd	chr16:41981544-41981731	Lsamp	+	Intron	miR-188 (1), miR-204/211 (1)	miR-296 (1)			LTR@MTB(-), LTR@MTB-int(-)	LINE/LTR
sidd	chr16:42346437-42346559	Gap43	-	Distal Intergenic		miR-30 (1)			LINE@Lx(+), LTR@ORR1A2(+), LTR@MLT1C(-)	LINE/LTR
sidd	chr16:42472981-42473099	Gap43	-	Distal Intergenic	miR-203a (1), miR-494 (1)	miR-29 (1)			LTR@RLTR10B2(+), LINE@L1Md_F3(+), LTR@MMERVK10C-int(+), LTR@RLTR27(+), LTR@MMERVK10C-int(+)	LINE/LTR
sidd	chr16:42558477-42558620	Gm49739	+	Distal Intergenic	miR-670 (1)	miR-203a (1)			LINE@L1Md_F2(+), LINE@L1Md_F2(-)	LINE/LTR
sidd	chr16:42761898-42762025	Gm49739	+	Intron		miR-203a (2)			LTR@MER110A(-), LINE@L1_Mus4(-)	LINE/LTR
sidd	chr16:42855087-42855266	4932412D23Rik	-	Intron	miR-129 (1)	miR-129 (1), miR-203a (3), miR-450a (1)	miR-129		LINE@L1Md_A(-), LINE@L1_Mus1(-)	LINE/LTR
sidd	chr16:43148330-43148473	Gm25873	+	Intron	miR-670 (1)	miR-186 (1), miR-203a (1)			LINE@L1_Mus3(-), LINE@L1Md_F2(-)	LINE/LTR
sidd	chr16:43767907-43768128	Drd3	+	Intron	miR-190 (1), miR-21/590 (1)	miR-124 (1)			LTR@RLTR45-int(-)	LINE/LTR
sidd	chr16:44089787-44089917	Gramd1c	-	Intron		miR-203a (2), miR-379 (1)			LINE@L1_Mus3(-)	LINE/LTR
sidd	chr16:44444173-44444366	Cfap44	+	Intron	miR-146 (1)	miR-129 (1), miR-376ab (1), miR-433 (1), miR-491 (1), miR-496 (1)			LINE@L1_Mus1(+)	LINE/LTR
sidd	chr16:44499163-44499369	Cfap44	+	Intron	miR-224 (1)	miR-154 (1), miR-19 (1), miR-192/215 (1)				
sidd	chr16:44658141-44658259	Nepro	+	Distal Intergenic		miR-188 (1)			LINE@L1_Mus3(+)	LINE/LTR
sidd	chr16:44804057-44804173	Gm19142	-	Promoter (1-2kb)	miR-203a (2)	let-7/miR-98 (1)			LINE@L1_Mus1(+)	LINE/LTR
sidd	chr16:45216951-45217124	Btla	+	Distal Intergenic	miR-15/16/195/424/497 (1), miR-495 (1)				LTR@ORR1A2(+)	LINE/LTR
sidd	chr16:45324066-45324219	Btla	+	Distal Intergenic		miR-203a (1)			LINE@L1VL4(-), LINE@L1Md_F2(-)	LINE/LTR
sidd	chr16:45438012-45438115	Gm16011	-	Intron		miR-325 (1), miR-374 (2)			LINE@L1_Mus1(+)	LINE/LTR
