Flipon	Coordinates	cCRE (+-200bp)
h-dna	chr16:34081316-34081343	dELS@EM10E0621972, dELS@EM10E0621973
h-dna	chr16:34081388-34081433	dELS@EM10E0621972, dELS@EM10E0621973
h-dna	chr16:34235418-34235444	dELS@EM10E0622022
h-dna	chr16:34573576-34573593	dELS (CTCF-bound)@EM10E0622126
h-dna	chr16:34996472-34996538	pELS@EM10E0622264
h-dna	chr16:34996575-34996596	pELS@EM10E0622264
h-dna	chr16:34996606-34996660	pELS@EM10E0622264
h-dna	chr16:37640429-37640486	dELS@EM10E0622879
h-dna	chr16:37963966-37963987	dELS@EM10E0623036, dELS@EM10E0623037
h-dna	chr16:37964021-37964040	dELS@EM10E0623036, dELS@EM10E0623037
h-dna	chr16:43979283-43979300	PLS@EM10E0623954, pELS@EM10E0623955
h-dna	chr16:45844856-45844893	pELS@EM10E0624569
h-dna	chr16:50611033-50611062	dELS@EM10E0625113
h-dna	chr16:55469040-55469059	CTCF-only (CTCF-bound)@EM10E0625369
h-dna	chr16:55515473-55515493	dELS@EM10E0625376
h-dna	chr16:55634574-55634633	dELS@EM10E0625415
h-dna	chr16:60605067-60605087	pELS@EM10E0626209, pELS@EM10E0626210, PLS@EM10E0626211
h-dna	chr16:65105891-65105908	PLS@EM10E0626408
h-dna	chr16:67617670-67617717	dELS@EM10E0626516, dELS@EM10E0626517
h-dna	chr16:67618137-67618160	dELS@EM10E0626517, dELS (CTCF-bound)@EM10E0626518
h-dna	chr16:75593202-75593225	PLS@EM10E0626860, pELS@EM10E0626861
h-dna	chr16:78060303-78060370	dELS@EM10E0627288
h-dna	chr16:78060387-78060408	dELS@EM10E0627288
h-dna	chr16:78302527-78302545	pELS@EM10E0627336, pELS@EM10E0627337
h-dna	chr16:85172472-85172533	pELS (CTCF-bound)@EM10E0627722
h-dna	chr16:85550629-85550646	PLS@EM10E0627750
h-dna	chr16:85803689-85803718	pELS@EM10E0627778, pELS@EM10E0627779
h-dna	chr16:85803843-85803865	pELS@EM10E0627778, pELS@EM10E0627779
h-dna	chr16:85803960-85803988	pELS@EM10E0627778, pELS@EM10E0627779, pELS@EM10E0627780
h-dna	chr16:88290109-88290130	PLS@EM10E0628105, PLS@EM10E0628106
h-dna	chr16:89960890-89960979	PLS@EM10E0628241, pELS@EM10E0628242
h-dna	chr16:90085090-90085109	DNase-H3K4me3@EM10E0628296
h-dna	chr16:90085162-90085179	DNase-H3K4me3@EM10E0628296
h-dna	chr16:91073468-91073521	DNase-H3K4me3 (CTCF-bound)@EM10E0628688
h-dna	chr16:91073568-91073615	DNase-H3K4me3 (CTCF-bound)@EM10E0628688
h-dna	chr16:91222513-91222547	pELS (CTCF-bound)@EM10E0628742, pELS (CTCF-bound)@EM10E0628743
h-dna	chr16:91225303-91225321	PLS@EM10E0628751
h-dna	chr16:92412045-92412070	dELS@EM10E0629385
h-dna	chr16:93974676-93974747	dELS@EM10E0629993
h-dna	chr16:94083809-94083833	PLS@EM10E0630044
h-dna	chr16:94084610-94084683	PLS@EM10E0630046
h-dna	chr16:94085147-94085166	PLS@EM10E0630046, pELS@EM10E0630047
h-dna	chr16:94086354-94086433	pELS@EM10E0630049
h-dna	chr16:94086435-94086488	pELS@EM10E0630050
h-dna	chr16:94086525-94086548	pELS@EM10E0630050
h-dna	chr16:95709072-95709090	dELS@EM10E0630593, dELS@EM10E0630594
h-dna	chr16:97611206-97611224	PLS@EM10E0631144, pELS@EM10E0631145
h-dna	chr17:3326740-3326760	PLS (CTCF-bound)@EM10E0631346, PLS (CTCF-bound)@EM10E0631347
h-dna	chr17:5941176-5941211	PLS (CTCF-bound)@EM10E0632083, PLS (CTCF-bound)@EM10E0632084
h-dna	chr17:7599938-7600031	dELS@EM10E0632458
h-dna	chr17:8525157-8525179	pELS (CTCF-bound)@EM10E0632695
h-dna	chr17:8632065-8632090	DNase-H3K4me3@EM10E0632719
h-dna	chr17:8801546-8801567	PLS@EM10E0632743
h-dna	chr17:8801603-8801621	PLS@EM10E0632743
h-dna	chr17:8936435-8936475	CTCF-only (CTCF-bound)@EM10E0632793
h-dna	chr17:12742054-12742076	pELS@EM10E0633530, pELS@EM10E0633531
h-dna	chr17:15375544-15375560	pELS@EM10E0634087, pELS@EM10E0634088
h-dna	chr17:17828842-17828864	pELS@EM10E0634402
h-dna	chr17:17828976-17829002	pELS@EM10E0634402, pELS@EM10E0634403
h-dna	chr17:21754203-21754219	DNase-H3K4me3 (CTCF-bound)@EM10E0634557
h-dna	chr17:22081651-22081683	dELS@EM10E0634572
h-dna	chr17:22425010-22425038	pELS@EM10E0634588
h-dna	chr17:23746021-23746040	PLS@EM10E0634750, PLS@EM10E0634751
h-dna	chr17:25809081-25809097	PLS (CTCF-bound)@EM10E0635656, pELS@EM10E0635657
h-dna	chr17:26042714-26042745	dELS@EM10E0635819
h-dna	chr17:26397105-26397156	dELS@EM10E0635985
h-dna	chr17:26397218-26397246	dELS@EM10E0635985
h-dna	chr17:26397270-26397292	dELS@EM10E0635985
h-dna	chr17:26397348-26397387	dELS@EM10E0635985
h-dna	chr17:26415802-26415855	pELS@EM10E0635991
h-dna	chr17:26941352-26941381	PLS@EM10E0636337, PLS@EM10E0636338
h-dna	chr17:26948443-26948460	pELS (CTCF-bound)@EM10E0636348, pELS@EM10E0636349
h-dna	chr17:27038815-27038837	dELS@EM10E0636412, dELS@EM10E0636413
h-dna	chr17:27702484-27702522	DNase-H3K4me3 (CTCF-bound)@EM10E0636812
h-dna	chr17:28142071-28142097	pELS@EM10E0637087, PLS@EM10E0637088
h-dna	chr17:28142149-28142175	pELS@EM10E0637087, PLS@EM10E0637088, PLS (CTCF-bound)@EM10E0637089
h-dna	chr17:28143708-28143738	pELS@EM10E0637092
h-dna	chr17:28349811-28349827	pELS@EM10E0637257, pELS@EM10E0637258, pELS@EM10E0637259
h-dna	chr17:28351337-28351356	pELS (CTCF-bound)@EM10E0637262
h-dna	chr17:28769841-28769886	pELS@EM10E0637509, pELS@EM10E0637510
h-dna	chr17:29888656-29888681	pELS@EM10E0638300, PLS@EM10E0638301
h-dna	chr17:29888868-29888921	PLS@EM10E0638301, pELS (CTCF-bound)@EM10E0638302
h-dna	chr17:31012552-31012607	dELS@EM10E0638660
h-dna	chr17:31270627-31270650	dELS@EM10E0638794
h-dna	chr17:31892611-31892643	dELS (CTCF-bound)@EM10E0639204
h-dna	chr17:31892660-31892685	dELS (CTCF-bound)@EM10E0639204
h-dna	chr17:32166810-32166831	PLS@EM10E0639350
h-dna	chr17:33807906-33807931	dELS@EM10E0639718
h-dna	chr17:34632546-34632564	dELS (CTCF-bound)@EM10E0640198
h-dna	chr17:35354029-35354092	dELS@EM10E0640661, dELS@EM10E0640662
h-dna	chr17:35703636-35703673	PLS@EM10E0640826
h-dna	chr17:35732305-35732348	dELS@EM10E0640852
h-dna	chr17:36238022-36238041	DNase-H3K4me3@EM10E0641123
h-dna	chr17:40662276-40662302	dELS@EM10E0641365, dELS@EM10E0641366, dELS@EM10E0641367
h-dna	chr17:40817884-40817900	dELS@EM10E0641381
h-dna	chr17:43801483-43801499	pELS (CTCF-bound)@EM10E0641724, PLS (CTCF-bound)@EM10E0641725
h-dna	chr17:44034897-44034972	dELS (CTCF-bound)@EM10E0641785
h-dna	chr17:44262110-44262139	CTCF-only (CTCF-bound)@EM10E0641863
h-dna	chr17:44262156-44262172	CTCF-only (CTCF-bound)@EM10E0641863
h-dna	chr17:44262194-44262249	CTCF-only (CTCF-bound)@EM10E0641863
h-dna	chr17:44736165-44736182	PLS (CTCF-bound)@EM10E0641997, pELS (CTCF-bound)@EM10E0641998, pELS (CTCF-bound)@EM10E0641999
h-dna	chr17:45597539-45597592	pELS (CTCF-bound)@EM10E0642275
h-dna	chr17:45700681-45700699	dELS@EM10E0642347
h-dna	chr17:45736740-45736765	dELS@EM10E0642377, dELS@EM10E0642378
h-dna	chr17:46454545-46454575	dELS (CTCF-bound)@EM10E0642749, dELS@EM10E0642750
h-dna	chr17:46484106-46484131	PLS@EM10E0642764
h-dna	chr17:46487742-46487760	PLS@EM10E0642769
h-dna	chr17:46520702-46520726	DNase-H3K4me3@EM10E0642777
h-dna	chr17:46628426-46628479	pELS@EM10E0642850
h-dna	chr17:47410842-47410869	DNase-H3K4me3@EM10E0643208
h-dna	chr17:47436968-47436995	pELS@EM10E0643218
h-dna	chr17:48031257-48031279	dELS@EM10E0643652, dELS@EM10E0643653
h-dna	chr17:48276028-48276046	dELS@EM10E0643721
h-dna	chr17:48932235-48932264	pELS (CTCF-bound)@EM10E0643887, pELS (CTCF-bound)@EM10E0643888
h-dna	chr17:55971350-55971366	pELS@EM10E0644857
h-dna	chr17:56125095-56125123	dELS (CTCF-bound)@EM10E0644952, dELS (CTCF-bound)@EM10E0644953
h-dna	chr17:56413000-56413031	dELS@EM10E0645131
h-dna	chr17:56461492-56461510	pELS (CTCF-bound)@EM10E0645149
h-dna	chr17:56467616-56467637	dELS@EM10E0645159
h-dna	chr17:56470277-56470303	dELS@EM10E0645164
h-dna	chr17:56509942-56509959	dELS@EM10E0645194
h-dna	chr17:56510001-56510035	dELS@EM10E0645194
h-dna	chr17:56883538-56883559	dELS@EM10E0645380
h-dna	chr17:59009421-59009461	dELS@EM10E0645640
h-dna	chr17:59009489-59009513	dELS@EM10E0645640
h-dna	chr17:62881289-62881316	PLS (CTCF-bound)@EM10E0645788, pELS (CTCF-bound)@EM10E0645789
h-dna	chr17:62882717-62882741	pELS@EM10E0645792
h-dna	chr17:62883032-62883052	pELS@EM10E0645793
h-dna	chr17:62941142-62941187	dELS@EM10E0645801
h-dna	chr17:64492952-64492975	dELS (CTCF-bound)@EM10E0646078
h-dna	chr17:65895960-65896007	CTCF-only (CTCF-bound)@EM10E0646394
h-dna	chr17:65896029-65896061	CTCF-only (CTCF-bound)@EM10E0646394
h-dna	chr17:66595170-66595193	pELS@EM10E0646653
h-dna	chr17:66595198-66595236	pELS@EM10E0646653
h-dna	chr17:69156454-69156503	PLS@EM10E0647001
h-dna	chr17:69193358-69193377	dELS@EM10E0647014
h-dna	chr17:69439963-69439983	DNase-H3K4me3@EM10E0647073, DNase-H3K4me3 (CTCF-bound)@EM10E0647074, DNase-H3K4me3@EM10E0647075
h-dna	chr17:71870188-71870259	dELS@EM10E0647691
h-dna	chr17:73710460-73710480	pELS (CTCF-bound)@EM10E0648055, PLS (CTCF-bound)@EM10E0648056
h-dna	chr17:78200088-78200104	PLS@EM10E0648595
h-dna	chr17:78200744-78200769	pELS (CTCF-bound)@EM10E0648597
h-dna	chr17:78605670-78605698	CTCF-only (CTCF-bound)@EM10E0648759
h-dna	chr17:79051860-79051952	pELS (CTCF-bound)@EM10E0648848
h-dna	chr17:79051961-79051978	pELS (CTCF-bound)@EM10E0648848
h-dna	chr17:79397946-79397963	CTCF-only (CTCF-bound)@EM10E0648943
h-dna	chr17:79397984-79398003	CTCF-only (CTCF-bound)@EM10E0648943
h-dna	chr17:80061968-80061988	pELS (CTCF-bound)@EM10E0649187, PLS (CTCF-bound)@EM10E0649188
h-dna	chr17:80969963-80969979	dELS@EM10E0649534
h-dna	chr17:83215016-83215037	pELS (CTCF-bound)@EM10E0649803, PLS (CTCF-bound)@EM10E0649804
h-dna	chr17:83632224-83632247	PLS@EM10E0649972, pELS@EM10E0649973
h-dna	chr17:84675877-84675900	PLS (CTCF-bound)@EM10E0650632
h-dna	chr17:85052264-85052280	dELS@EM10E0650764
h-dna	chr17:85617637-85617692	pELS@EM10E0650874, pELS@EM10E0650875
h-dna	chr17:85620885-85620906	PLS@EM10E0650883, PLS@EM10E0650884
h-dna	chr17:85620922-85620981	PLS@EM10E0650883, PLS@EM10E0650884
h-dna	chr17:85621080-85621100	PLS@EM10E0650883, PLS@EM10E0650884, pELS@EM10E0650885
h-dna	chr17:85621130-85621158	PLS@EM10E0650884, pELS@EM10E0650885
h-dna	chr17:85623945-85623972	dELS@EM10E0650890, dELS@EM10E0650891
h-dna	chr17:86559975-86560040	dELS (CTCF-bound)@EM10E0651280, dELS@EM10E0651281
h-dna	chr17:86753866-86753899	pELS (CTCF-bound)@EM10E0651341, PLS@EM10E0651342
h-dna	chr17:86754074-86754092	PLS@EM10E0651342
h-dna	chr17:86866739-86866761	CTCF-only (CTCF-bound)@EM10E0651392
h-dna	chr17:86866944-86866983	CTCF-only (CTCF-bound)@EM10E0651392
h-dna	chr17:87826022-87826091	DNase-H3K4me3@EM10E0651832, DNase-H3K4me3 (CTCF-bound)@EM10E0651833
h-dna	chr17:90455854-90455881	pELS@EM10E0652276, PLS@EM10E0652277
h-dna	chr18:4177254-4177299	CTCF-only (CTCF-bound)@EM10E0652536
h-dna	chr18:5428224-5428244	dELS@EM10E0652911, dELS@EM10E0652912
h-dna	chr18:8693855-8693873	pELS (CTCF-bound)@EM10E0653339
h-dna	chr18:10052250-10052286	dELS@EM10E0653502, dELS@EM10E0653503
h-dna	chr18:11059325-11059353	dELS@EM10E0653700
h-dna	chr18:13969826-13969877	dELS@EM10E0654415, dELS@EM10E0654416
h-dna	chr18:13971679-13971710	pELS@EM10E0654419, pELS@EM10E0654420
h-dna	chr18:13972124-13972150	pELS@EM10E0654420
h-dna	chr18:13972187-13972207	pELS@EM10E0654420, pELS (CTCF-bound)@EM10E0654421
h-dna	chr18:13972426-13972442	pELS (CTCF-bound)@EM10E0654421, PLS (CTCF-bound)@EM10E0654422
h-dna	chr18:13972999-13973024	PLS (CTCF-bound)@EM10E0654422, pELS (CTCF-bound)@EM10E0654423
h-dna	chr18:15277163-15277182	dELS@EM10E0654613
h-dna	chr18:15277197-15277242	dELS@EM10E0654613
h-dna	chr18:15277263-15277304	dELS@EM10E0654613
h-dna	chr18:20058766-20058794	pELS@EM10E0654814
h-dna	chr18:23040626-23040647	PLS@EM10E0655258, pELS@EM10E0655259, pELS@EM10E0655260
h-dna	chr18:24710348-24710374	pELS@EM10E0655649, pELS@EM10E0655650
h-dna	chr18:25505066-25505083	dELS@EM10E0655792, dELS@EM10E0655793
h-dna	chr18:25753912-25753950	PLS@EM10E0655927, PLS@EM10E0655928
h-dna	chr18:25753950-25753971	PLS@EM10E0655927, PLS@EM10E0655928
h-dna	chr18:25753989-25754052	PLS@EM10E0655927, PLS@EM10E0655928
h-dna	chr18:25754064-25754088	PLS@EM10E0655927, PLS@EM10E0655928
h-dna	chr18:25755729-25755749	pELS (CTCF-bound)@EM10E0655932
h-dna	chr18:31445736-31445783	pELS (CTCF-bound)@EM10E0656127
h-dna	chr18:31569097-31569117	dELS@EM10E0656137
h-dna	chr18:33463672-33463717	PLS@EM10E0656547, PLS (CTCF-bound)@EM10E0656548
h-dna	chr18:33464515-33464531	pELS (CTCF-bound)@EM10E0656550, pELS@EM10E0656551
h-dna	chr18:34679922-34679945	dELS@EM10E0656937
h-dna	chr18:35719494-35719522	pELS@EM10E0657366
h-dna	chr18:35719543-35719561	pELS@EM10E0657366
h-dna	chr18:35830946-35830973	pELS@EM10E0657430, PLS@EM10E0657431, PLS (CTCF-bound)@EM10E0657432
h-dna	chr18:37999239-37999263	pELS@EM10E0658219
h-dna	chr18:38175343-38175363	dELS@EM10E0658318, dELS@EM10E0658319, dELS@EM10E0658320
h-dna	chr18:38175365-38175404	dELS@EM10E0658319, dELS@EM10E0658320
h-dna	chr18:38175417-38175440	dELS@EM10E0658319, dELS@EM10E0658320
h-dna	chr18:38186069-38186089	dELS (CTCF-bound)@EM10E0658331, dELS@EM10E0658332
h-dna	chr18:38212036-38212057	PLS@EM10E0658354
h-dna	chr18:38570665-38570686	dELS@EM10E0658537, dELS@EM10E0658538
h-dna	chr18:40256663-40256681	PLS (CTCF-bound)@EM10E0659093
h-dna	chr18:42394898-42394947	PLS@EM10E0659211, pELS@EM10E0659212, pELS@EM10E0659213
h-dna	chr18:43393427-43393443	pELS (CTCF-bound)@EM10E0659413, PLS (CTCF-bound)@EM10E0659414
h-dna	chr18:45268103-45268150	pELS@EM10E0659675, pELS (CTCF-bound)@EM10E0659676
h-dna	chr18:46197994-46198012	pELS (CTCF-bound)@EM10E0659747
h-dna	chr18:46212822-46212848	PLS@EM10E0659760, pELS@EM10E0659761
h-dna	chr18:47368484-47368508	PLS@EM10E0660150
h-dna	chr18:47368524-47368545	PLS@EM10E0660150
h-dna	chr18:47369277-47369295	PLS (CTCF-bound)@EM10E0660151, pELS@EM10E0660152
h-dna	chr18:47370253-47370298	pELS (CTCF-bound)@EM10E0660153, pELS (CTCF-bound)@EM10E0660154
h-dna	chr18:49747226-49747259	dELS@EM10E0660271, dELS@EM10E0660272
h-dna	chr18:52529748-52529775	pELS@EM10E0660521, PLS@EM10E0660522
h-dna	chr18:52768076-52768092	PLS (CTCF-bound)@EM10E0660585, PLS@EM10E0660586
h-dna	chr18:53246118-53246146	PLS (CTCF-bound)@EM10E0660679, pELS@EM10E0660680
h-dna	chr18:53463247-53463263	pELS@EM10E0660725, pELS@EM10E0660726
h-dna	chr18:53463506-53463547	pELS@EM10E0660726, pELS (CTCF-bound)@EM10E0660727
h-dna	chr18:53463558-53463578	pELS@EM10E0660726, pELS (CTCF-bound)@EM10E0660727
h-dna	chr18:60143621-60143650	CTCF-only (CTCF-bound)@EM10E0662112
h-dna	chr18:60143666-60143682	CTCF-only (CTCF-bound)@EM10E0662112
h-dna	chr18:60143721-60143739	CTCF-only (CTCF-bound)@EM10E0662112
h-dna	chr18:60648176-60648193	pELS@EM10E0662241, PLS@EM10E0662242
h-dna	chr18:61911936-61911956	PLS (CTCF-bound)@EM10E0663126
h-dna	chr18:61953014-61953039	PLS@EM10E0663150
h-dna	chr18:62235936-62235969	CTCF-only (CTCF-bound)@EM10E0663296
h-dna	chr18:62324643-62324660	PLS (CTCF-bound)@EM10E0663306
h-dna	chr18:64332916-64332934	dELS@EM10E0663570, dELS@EM10E0663571
h-dna	chr18:64339791-64339819	pELS (CTCF-bound)@EM10E0663582, pELS@EM10E0663583
h-dna	chr18:64346401-64346476	dELS@EM10E0663599
h-dna	chr18:64661102-64661121	PLS (CTCF-bound)@EM10E0663712, pELS@EM10E0663713
h-dna	chr18:67890342-67890385	dELS@EM10E0664832
h-dna	chr18:67890418-67890517	dELS@EM10E0664832, dELS@EM10E0664833
h-dna	chr18:68410294-68410385	dELS@EM10E0665060
h-dna	chr18:68410385-68410402	dELS@EM10E0665060
h-dna	chr18:68578175-68578202	dELS@EM10E0665087
h-dna	chr18:69346751-69346772	pELS@EM10E0665211
h-dna	chr18:74065589-74065606	pELS (CTCF-bound)@EM10E0665897
h-dna	chr18:75495129-75495163	dELS@EM10E0666440, dELS@EM10E0666441
h-dna	chr18:75563773-75563794	dELS@EM10E0666495
h-dna	chr18:75697246-75697262	pELS (CTCF-bound)@EM10E0666552, pELS (CTCF-bound)@EM10E0666553
h-dna	chr18:75697434-75697456	pELS (CTCF-bound)@EM10E0666552, pELS (CTCF-bound)@EM10E0666553, PLS@EM10E0666554
h-dna	chr18:75697554-75697581	pELS (CTCF-bound)@EM10E0666553, PLS@EM10E0666554
h-dna	chr18:75819769-75819795	pELS (CTCF-bound)@EM10E0666576, pELS (CTCF-bound)@EM10E0666577, PLS@EM10E0666578
h-dna	chr18:80236477-80236496	dELS@EM10E0667538, dELS@EM10E0667539
h-dna	chr18:82909979-82909996	pELS@EM10E0668303, pELS@EM10E0668304, pELS@EM10E0668305
h-dna	chr18:83399291-83399319	dELS (CTCF-bound)@EM10E0668431
h-dna	chr18:84719997-84720015	pELS (CTCF-bound)@EM10E0668671, PLS@EM10E0668672
h-dna	chr18:86394755-86394775	pELS@EM10E0668817, PLS@EM10E0668818
h-dna	chr18:86711032-86711060	pELS (CTCF-bound)@EM10E0668829, PLS (CTCF-bound)@EM10E0668830
h-dna	chr19:5741766-5741786	pELS (CTCF-bound)@EM10E0670224
h-dna	chr19:6447795-6447826	dELS@EM10E0670751
h-dna	chr19:6464305-6464328	dELS (CTCF-bound)@EM10E0670760
h-dna	chr19:6464329-6464350	dELS (CTCF-bound)@EM10E0670760
h-dna	chr19:6497241-6497287	pELS@EM10E0670776, pELS@EM10E0670777
h-dna	chr19:6497577-6497608	pELS@EM10E0670777
h-dna	chr19:6497714-6497737	pELS@EM10E0670777
h-dna	chr19:6531238-6531255	pELS@EM10E0670808, pELS@EM10E0670809
h-dna	chr19:6532632-6532657	pELS@EM10E0670811, pELS@EM10E0670812
h-dna	chr19:7070581-7070621	dELS@EM10E0671056, dELS@EM10E0671057, dELS@EM10E0671058
h-dna	chr19:7105581-7105604	pELS@EM10E0671077, pELS@EM10E0671078
h-dna	chr19:7134574-7134594	dELS@EM10E0671102, dELS@EM10E0671103
h-dna	chr19:7136149-7136165	dELS@EM10E0671106
h-dna	chr19:7160526-7160551	dELS@EM10E0671128, dELS (CTCF-bound)@EM10E0671129
h-dna	chr19:7186269-7186287	dELS@EM10E0671154
h-dna	chr19:7266867-7266890	pELS@EM10E0671204, pELS@EM10E0671205
h-dna	chr19:10390225-10390241	pELS@EM10E0672121
h-dna	chr19:10433227-10433251	dELS@EM10E0672149
h-dna	chr19:11819082-11819100	PLS@EM10E0672644, pELS@EM10E0672645
h-dna	chr19:16625895-16625945	dELS@EM10E0673325
h-dna	chr19:16625948-16625968	dELS@EM10E0673325
h-dna	chr19:16625972-16625992	dELS@EM10E0673325
h-dna	chr19:16955599-16955618	DNase-H3K4me3@EM10E0673369
h-dna	chr19:17837703-17837731	PLS (CTCF-bound)@EM10E0673545
h-dna	chr19:19111187-19111204	pELS@EM10E0673695, PLS@EM10E0673696
h-dna	chr19:21424197-21424222	dELS@EM10E0673911
h-dna	chr19:23057212-23057235	dELS@EM10E0674240, dELS@EM10E0674241
h-dna	chr19:23893007-23893023	dELS@EM10E0674456
h-dna	chr19:24897339-24897355	dELS@EM10E0674815, dELS@EM10E0674816
h-dna	chr19:24897977-24898052	dELS@EM10E0674816, dELS@EM10E0674817
h-dna	chr19:25505702-25505725	PLS (CTCF-bound)@EM10E0675049, pELS@EM10E0675050
h-dna	chr19:25507050-25507068	pELS@EM10E0675052
h-dna	chr19:25610510-25610530	pELS@EM10E0675080, pELS (CTCF-bound)@EM10E0675081
h-dna	chr19:26821465-26821499	dELS@EM10E0675252
h-dna	chr19:30539828-30539863	PLS@EM10E0676122
h-dna	chr19:30539926-30539950	PLS@EM10E0676122
h-dna	chr19:43610940-43610983	PLS@EM10E0679311, pELS@EM10E0679312
h-dna	chr19:43615447-43615466	dELS@EM10E0679322, dELS@EM10E0679323
h-dna	chr19:44670076-44670131	dELS@EM10E0679812
h-dna	chr19:44670898-44670917	dELS@EM10E0679813
h-dna	chr19:44671622-44671671	dELS@EM10E0679814, dELS@EM10E0679815
h-dna	chr19:44752551-44752571	dELS@EM10E0679871
h-dna	chr19:45150555-45150576	PLS@EM10E0680082
h-dna	chr19:45154394-45154410	dELS@EM10E0680091
h-dna	chr19:45205305-45205345	CTCF-only (CTCF-bound)@EM10E0680115
h-dna	chr19:45205371-45205399	CTCF-only (CTCF-bound)@EM10E0680115
h-dna	chr19:45205418-45205442	CTCF-only (CTCF-bound)@EM10E0680115
h-dna	chr19:45205463-45205502	CTCF-only (CTCF-bound)@EM10E0680115
h-dna	chr19:45205541-45205565	CTCF-only (CTCF-bound)@EM10E0680115
h-dna	chr19:45205617-45205645	CTCF-only (CTCF-bound)@EM10E0680115
h-dna	chr19:45205683-45205738	CTCF-only (CTCF-bound)@EM10E0680115
h-dna	chr19:45205766-45205786	CTCF-only (CTCF-bound)@EM10E0680115
h-dna	chr19:45230736-45230755	dELS@EM10E0680142, dELS@EM10E0680143
h-dna	chr19:45230764-45230780	dELS@EM10E0680142, dELS@EM10E0680143
h-dna	chr19:45230898-45230918	dELS@EM10E0680142, dELS@EM10E0680143
h-dna	chr19:45235805-45235830	pELS@EM10E0680154, PLS@EM10E0680155
h-dna	chr19:45237027-45237090	pELS@EM10E0680158, pELS@EM10E0680159
h-dna	chr19:45302535-45302552	pELS@EM10E0680185, pELS@EM10E0680186, pELS (CTCF-bound)@EM10E0680187
h-dna	chr19:45326227-45326279	dELS@EM10E0680205
h-dna	chr19:45544564-45544598	DNase-H3K4me3 (CTCF-bound)@EM10E0680273, DNase-H3K4me3@EM10E0680274
h-dna	chr19:45736829-45736855	DNase-H3K4me3@EM10E0680358
h-dna	chr19:48205379-48205396	pELS@EM10E0681578, pELS (CTCF-bound)@EM10E0681579
h-dna	chr19:52607361-52607403	DNase-H3K4me3@EM10E0681685
h-dna	chr19:54045885-54045902	pELS (CTCF-bound)@EM10E0682362, pELS@EM10E0682363
h-dna	chr19:55061894-55061940	DNase-H3K4me3 (CTCF-bound)@EM10E0682409, DNase-H3K4me3 (CTCF-bound)@EM10E0682410
h-dna	chr19:55925775-55925798	dELS@EM10E0682866, dELS (CTCF-bound)@EM10E0682867
h-dna	chr19:55925839-55925869	dELS@EM10E0682866, dELS (CTCF-bound)@EM10E0682867
h-dna	chr19:55925885-55925918	dELS@EM10E0682866, dELS (CTCF-bound)@EM10E0682867
h-dna	chr19:55925929-55925949	dELS@EM10E0682866, dELS (CTCF-bound)@EM10E0682867
h-dna	chr19:58413161-58413253	dELS@EM10E0683806, dELS (CTCF-bound)@EM10E0683807
h-dna	chr19:59170034-59170055	pELS@EM10E0683998, pELS@EM10E0683999
h-dna	chr19:59458338-59458357	pELS@EM10E0684111, PLS@EM10E0684112
h-dna	chr19:59458358-59458387	pELS@EM10E0684111, PLS@EM10E0684112
h-dna	chr19:59458412-59458432	PLS@EM10E0684112
h-dna	chr19:59459052-59459084	pELS@EM10E0684113, pELS (CTCF-bound)@EM10E0684114
h-dna	chr19:59468171-59468193	dELS@EM10E0684135, dELS@EM10E0684136
h-dna	chr2:9877749-9877771	pELS@EM10E0685809
h-dna	chr2:9877799-9877818	pELS@EM10E0685809, pELS@EM10E0685810
h-dna	chr2:9877886-9877904	pELS@EM10E0685810
h-dna	chr2:9881460-9881476	PLS@EM10E0685819, pELS (CTCF-bound)@EM10E0685820
h-dna	chr2:13011410-13011441	pELS@EM10E0686366, PLS@EM10E0686367
h-dna	chr2:18026406-18026425	dELS (CTCF-bound)@EM10E0686907, dELS@EM10E0686908
h-dna	chr2:18689992-18690018	dELS (CTCF-bound)@EM10E0687074, dELS@EM10E0687075
h-dna	chr2:24521876-24521897	dELS (CTCF-bound)@EM10E0688017, dELS@EM10E0688018
h-dna	chr2:24777193-24777218	dELS@EM10E0688060
h-dna	chr2:25429322-25429345	pELS@EM10E0688348, pELS@EM10E0688349
h-dna	chr2:26661688-26661706	dELS (CTCF-bound)@EM10E0688930
h-dna	chr2:27650068-27650088	dELS (CTCF-bound)@EM10E0689318, dELS@EM10E0689319
h-dna	chr2:27685109-27685132	dELS@EM10E0689352
h-dna	chr2:28916419-28916470	PLS@EM10E0689875, PLS@EM10E0689876
h-dna	chr2:29194510-29194539	dELS (CTCF-bound)@EM10E0689965, dELS (CTCF-bound)@EM10E0689966
h-dna	chr2:30504071-30504094	dELS@EM10E0690583
h-dna	chr2:30676637-30676664	pELS@EM10E0690672
h-dna	chr2:30687161-30687183	dELS@EM10E0690681, dELS (CTCF-bound)@EM10E0690682
h-dna	chr2:30708050-30708073	dELS (CTCF-bound)@EM10E0690707, dELS (CTCF-bound)@EM10E0690708
h-dna	chr2:30708661-30708698	dELS@EM10E0690709, dELS@EM10E0690710
h-dna	chr2:30719231-30719257	pELS@EM10E0690729
h-dna	chr2:30719475-30719562	pELS@EM10E0690729
h-dna	chr2:30845896-30845929	pELS (CTCF-bound)@EM10E0690824, pELS (CTCF-bound)@EM10E0690825
h-dna	chr2:31495547-31495610	dELS@EM10E0691182
h-dna	chr2:31495625-31495690	dELS@EM10E0691182
