"Flipon"	"Coordinates"	"miRNA (+)"	"miRNA (-)"	"miRNA (intersection)"
"z-dna"	"chr7:63212551-63212575"	""	""	""
"z-dna"	"chr7:63212593-63212608"	""	""	""
"z-dna"	"chr7:63444512-63444530"	""	""	""
"z-dna"	"chr7:63444588-63444608"	""	""	""
"z-dna"	"chr7:63444662-63444678"	""	""	""
"z-dna"	"chr7:63444703-63444726"	""	""	""
"z-dna"	"chr7:63444992-63445009"	""	""	""
"z-dna"	"chr7:63445236-63445249"	""	""	""
"z-dna"	"chr7:63669002-63669066"	""	"miR-210 (1)"	""
"z-dna"	"chr7:63754848-63754868"	"miR-25/32/92/363/367 (1)"	""	""
"z-dna"	"chr7:63755196-63755211"	""	""	""
"z-dna"	"chr7:63755423-63755438"	"miR-1249 (1)"	""	""
"z-dna"	"chr7:63757476-63757495"	""	""	""
"z-dna"	"chr7:63758033-63758046"	""	""	""
"z-dna"	"chr7:63758157-63758173"	""	""	""
"z-dna"	"chr7:63758213-63758229"	""	""	""
"z-dna"	"chr7:63758261-63758285"	""	""	""
"z-dna"	"chr7:63758293-63758306"	""	""	""
"z-dna"	"chr7:63758317-63758360"	""	""	""
"z-dna"	"chr7:63758408-63758421"	""	""	""
"z-dna"	"chr7:63758560-63758575"	""	""	""
"z-dna"	"chr7:63758640-63758657"	""	""	""
"z-dna"	"chr7:63758704-63758725"	""	""	""
"z-dna"	"chr7:63781450-63781465"	""	""	""
"z-dna"	"chr7:63803073-63803093"	""	""	""
"z-dna"	"chr7:64027201-64027218"	"miR-532 (1)"	""	""
"z-dna"	"chr7:64113811-64113825"	""	""	""
"z-dna"	"chr7:64272682-64272695"	""	""	""
"z-dna"	"chr7:64317967-64317982"	""	""	""
"z-dna"	"chr7:64501904-64501919"	""	""	""
"z-dna"	"chr7:64502022-64502039"	""	""	""
"z-dna"	"chr7:64502047-64502066"	""	""	""
"z-dna"	"chr7:64502082-64502118"	""	""	""
"z-dna"	"chr7:64502236-64502255"	""	""	""
"z-dna"	"chr7:64979407-64979438"	""	""	""
"z-dna"	"chr7:6515223-6515236"	""	""	""
"z-dna"	"chr7:6515337-6515352"	"miR-19 (1)"	""	""
"z-dna"	"chr7:65155687-65155700"	""	""	""
"z-dna"	"chr7:65156132-65156150"	""	""	""
"z-dna"	"chr7:65156251-65156266"	""	""	""
"z-dna"	"chr7:65156278-65156305"	"miR-147 (1)"	""	""
"z-dna"	"chr7:65156469-65156482"	""	""	""
"z-dna"	"chr7:65156489-65156508"	""	""	""
"z-dna"	"chr7:65156559-65156577"	""	""	""
"z-dna"	"chr7:65156583-65156600"	""	""	""
"z-dna"	"chr7:65268388-65268450"	""	""	""
"z-dna"	"chr7:65268465-65268482"	""	""	""
"z-dna"	"chr7:65268492-65268517"	""	""	""
"z-dna"	"chr7:65268574-65268589"	""	"miR-210 (1)"	""
"z-dna"	"chr7:65371179-65371192"	""	""	""
"z-dna"	"chr7:65527498-65527512"	""	""	""
"z-dna"	"chr7:65527531-65527547"	""	""	""
"z-dna"	"chr7:65527765-65527778"	""	"miR-744 (1)"	""
"z-dna"	"chr7:65527836-65527853"	""	""	""
"z-dna"	"chr7:65862017-65862033"	""	""	""
"z-dna"	"chr7:65862172-65862190"	""	""	""
"z-dna"	"chr7:65862229-65862242"	"miR-744 (1)"	""	""
"z-dna"	"chr7:65862455-65862471"	""	"miR-744 (1)"	""
"z-dna"	"chr7:65862488-65862506"	""	""	""
"z-dna"	"chr7:6600748-6600761"	""	""	""
"z-dna"	"chr7:6608348-6608363"	""	""	""
"z-dna"	"chr7:6640268-6640281"	""	""	""
"z-dna"	"chr7:67210004-67210032"	""	""	""
"z-dna"	"chr7:6730277-6730290"	"miR-329/362 (1)"	"miR-210 (1)"	""
"z-dna"	"chr7:67698475-67698551"	""	"miR-210 (1)"	""
"z-dna"	"chr7:67708836-67708910"	""	""	""
"z-dna"	"chr7:67716464-67716505"	""	"miR-377 (1)"	""
"z-dna"	"chr7:67758768-67758785"	""	"miR-486 (1)"	""
"z-dna"	"chr7:67758850-67758863"	""	""	""
"z-dna"	"chr7:67758879-67758894"	""	""	""
"z-dna"	"chr7:67758929-67758952"	""	""	""
"z-dna"	"chr7:67759084-67759099"	""	""	""
"z-dna"	"chr7:67759240-67759261"	""	"miR-330 (1)"	""
"z-dna"	"chr7:67803700-67803720"	""	""	""
"z-dna"	"chr7:67858681-67858699"	""	"miR-431 (1)"	""
"z-dna"	"chr7:67951353-67951368"	""	""	""
"z-dna"	"chr7:67951490-67951505"	""	""	""
"z-dna"	"chr7:67951645-67951697"	"miR-24 (1)"	""	""
"z-dna"	"chr7:67951731-67951747"	""	""	""
"z-dna"	"chr7:67951843-67951895"	"miR-122 (1)"	""	""
"z-dna"	"chr7:67952189-67952207"	""	""	""
"z-dna"	"chr7:67952416-67952431"	""	""	""
"z-dna"	"chr7:67953153-67953172"	""	""	""
"z-dna"	"chr7:67953212-67953227"	""	""	""
"z-dna"	"chr7:68165122-68165149"	""	""	""
"z-dna"	"chr7:68226028-68226042"	""	""	""
"z-dna"	"chr7:68226418-68226451"	"miR-802 (1)"	""	""
"z-dna"	"chr7:68474033-68474112"	"miR-376c (1)"	"miR-210 (2)"	""
"z-dna"	"chr7:68474126-68474149"	""	""	""
"z-dna"	"chr7:68498599-68498658"	""	""	""
"z-dna"	"chr7:68498747-68498778"	""	""	""
"z-dna"	"chr7:68498803-68498828"	""	""	""
"z-dna"	"chr7:68599009-68599026"	""	""	""
"z-dna"	"chr7:69475763-69475820"	""	"miR-210 (1)"	""
"z-dna"	"chr7:69761139-69761154"	""	""	""
"z-dna"	"chr7:70281358-70281373"	""	""	""
"z-dna"	"chr7:70331610-70331627"	""	""	""
"z-dna"	"chr7:70338045-70338074"	""	""	""
"z-dna"	"chr7:70358166-70358181"	""	""	""
"z-dna"	"chr7:70359097-70359120"	""	""	""
"z-dna"	"chr7:70360210-70360227"	"miR-147 (1), miR-744 (1)"	""	""
"z-dna"	"chr7:70361002-70361021"	""	""	""
"z-dna"	"chr7:70361173-70361190"	""	""	""
"z-dna"	"chr7:70361607-70361639"	"miR-329/362 (1)"	"miR-210 (1)"	""
"z-dna"	"chr7:70361856-70361876"	""	""	""
"z-dna"	"chr7:70361964-70361986"	""	""	""
"z-dna"	"chr7:70362114-70362135"	""	"miR-142 (1)"	""
"z-dna"	"chr7:70369605-70369619"	""	""	""
"z-dna"	"chr7:71647457-71647537"	"miR-329/362 (1), miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr7:71687402-71687435"	""	""	""
"z-dna"	"chr7:71705514-71705543"	""	""	""
"z-dna"	"chr7:71705628-71705644"	""	""	""
"z-dna"	"chr7:72223134-72223213"	""	""	""
"z-dna"	"chr7:72410223-72410238"	""	"miR-455 (1)"	""
"z-dna"	"chr7:72844754-72844767"	""	""	""
"z-dna"	"chr7:72919737-72919779"	"miR-210 (1)"	"miR-329/362 (1)"	""
"z-dna"	"chr7:72919837-72919862"	""	""	""
"z-dna"	"chr7:72919917-72919941"	""	""	""
"z-dna"	"chr7:72919971-72919993"	""	""	""
"z-dna"	"chr7:72920040-72920057"	""	""	""
"z-dna"	"chr7:72920119-72920153"	""	"miR-377 (1)"	""
"z-dna"	"chr7:73075374-73075392"	""	""	""
"z-dna"	"chr7:73083495-73083513"	""	""	""
"z-dna"	"chr7:73125963-73125976"	""	""	""
"z-dna"	"chr7:73339614-73339686"	""	"miR-329/362 (1)"	""
"z-dna"	"chr7:73375445-73375471"	""	""	""
"z-dna"	"chr7:73375499-73375514"	""	""	""
"z-dna"	"chr7:73375823-73375840"	""	""	""
"z-dna"	"chr7:73391140-73391153"	""	""	""
"z-dna"	"chr7:73409340-73409355"	""	""	""
"z-dna"	"chr7:73409474-73409496"	""	""	""
"z-dna"	"chr7:73740269-73740284"	""	""	""
"z-dna"	"chr7:73740479-73740497"	""	""	""
"z-dna"	"chr7:73740917-73740943"	""	""	""
"z-dna"	"chr7:73740958-73740975"	""	"miR-17/20/93/106/519d (1)"	""
"z-dna"	"chr7:73741001-73741020"	""	""	""
"z-dna"	"chr7:74012255-74012272"	""	""	""
"z-dna"	"chr7:74012831-74012846"	""	""	""
"z-dna"	"chr7:74012940-74012957"	""	""	""
"z-dna"	"chr7:74013077-74013098"	""	""	""
"z-dna"	"chr7:74013513-74013537"	""	""	""
"z-dna"	"chr7:74016389-74016410"	""	""	""
"z-dna"	"chr7:74016493-74016514"	""	""	""
"z-dna"	"chr7:74554189-74554202"	""	""	""
"z-dna"	"chr7:74986046-74986062"	""	""	""
"z-dna"	"chr7:74994430-74994503"	""	"miR-342 (1), miR-377 (1)"	""
"z-dna"	"chr7:75000291-75000306"	""	""	""
"z-dna"	"chr7:75144273-75144288"	""	"miR-377 (1)"	""
"z-dna"	"chr7:75144312-75144346"	""	"miR-342 (1), miR-377 (1)"	""
"z-dna"	"chr7:75163118-75163135"	""	""	""
"z-dna"	"chr7:76080775-76080792"	""	""	""
"z-dna"	"chr7:76245985-76246002"	""	""	""
"z-dna"	"chr7:76246046-76246063"	""	""	""
"z-dna"	"chr7:76818359-76818384"	""	""	""
"z-dna"	"chr7:76818599-76818648"	"miR-329/362 (1), miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr7:76887824-76887867"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr7:76887869-76887898"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr7:76887916-76887942"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr7:76887946-76887972"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr7:76887998-76888026"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr7:77051562-77051605"	""	""	""
"z-dna"	"chr7:77872804-77872832"	""	""	""
"z-dna"	"chr7:78577460-78577473"	""	""	""
"z-dna"	"chr7:78578249-78578268"	""	""	""
"z-dna"	"chr7:78578627-78578649"	""	""	""
"z-dna"	"chr7:78882789-78882805"	""	""	""
"z-dna"	"chr7:78990608-78990623"	""	""	""
"z-dna"	"chr7:79053024-79053039"	""	""	""
"z-dna"	"chr7:79053262-79053280"	""	""	""
"z-dna"	"chr7:79053751-79053764"	""	""	""
"z-dna"	"chr7:79497796-79497809"	""	""	""
"z-dna"	"chr7:79500523-79500536"	""	""	""
"z-dna"	"chr7:79505035-79505052"	""	""	""
"z-dna"	"chr7:79505158-79505177"	""	""	""
"z-dna"	"chr7:79509101-79509116"	"miR-342 (1)"	""	""
"z-dna"	"chr7:79515421-79515434"	""	""	""
"z-dna"	"chr7:79515467-79515480"	""	""	""
"z-dna"	"chr7:79515658-79515671"	""	""	""
"z-dna"	"chr7:79515740-79515759"	""	""	""
"z-dna"	"chr7:79536025-79536042"	""	""	""
"z-dna"	"chr7:79543555-79543572"	""	""	""
"z-dna"	"chr7:79543838-79543870"	""	"miR-744 (1)"	""
"z-dna"	"chr7:79544140-79544186"	""	""	""
"z-dna"	"chr7:79592647-79592679"	"miR-210 (1)"	"miR-377 (1)"	""
"z-dna"	"chr7:79704390-79704407"	""	""	""
"z-dna"	"chr7:79710313-79710326"	""	""	""
"z-dna"	"chr7:79710362-79710382"	""	""	""
"z-dna"	"chr7:79721446-79721461"	""	""	""
"z-dna"	"chr7:79721504-79721520"	""	""	""
"z-dna"	"chr7:79793239-79793268"	""	""	""
"z-dna"	"chr7:79793359-79793374"	""	""	""
"z-dna"	"chr7:79802694-79802707"	""	""	""
"z-dna"	"chr7:79811104-79811119"	""	""	""
"z-dna"	"chr7:79811150-79811167"	""	""	""
"z-dna"	"chr7:79811194-79811225"	""	""	""
"z-dna"	"chr7:79846002-79846017"	"miR-329/362 (1)"	"miR-218 (1)"	""
"z-dna"	"chr7:79846037-79846050"	""	""	""
"z-dna"	"chr7:80425978-80425991"	""	""	""
"z-dna"	"chr7:80875502-80875522"	""	"miR-210 (1)"	""
"z-dna"	"chr7:80875613-80875626"	""	""	""
"z-dna"	"chr7:80875926-80875941"	""	"miR-210 (1)"	""
"z-dna"	"chr7:80876010-80876023"	""	"miR-210 (1)"	""
"z-dna"	"chr7:80876094-80876107"	""	"miR-210 (1)"	""
"z-dna"	"chr7:81057570-81057591"	""	""	""
"z-dna"	"chr7:81453888-81453911"	""	""	""
"z-dna"	"chr7:81454276-81454302"	""	""	""
"z-dna"	"chr7:81454435-81454451"	""	""	""
"z-dna"	"chr7:81454474-81454487"	""	""	""
"z-dna"	"chr7:81454547-81454564"	""	""	""
"z-dna"	"chr7:81454679-81454703"	""	""	""
"z-dna"	"chr7:81454713-81454739"	""	""	""
"z-dna"	"chr7:81455102-81455115"	""	""	""
"z-dna"	"chr7:81493463-81493476"	""	""	""
"z-dna"	"chr7:81495209-81495226"	""	""	""
"z-dna"	"chr7:81495248-81495263"	""	""	""
"z-dna"	"chr7:81618477-81618568"	""	""	""
"z-dna"	"chr7:81933867-81933882"	""	""	""
"z-dna"	"chr7:81933907-81933930"	""	""	""
"z-dna"	"chr7:81934006-81934021"	""	""	""
"z-dna"	"chr7:81992115-81992133"	""	"miR-210 (1)"	""
"z-dna"	"chr7:81992173-81992186"	""	""	""
"z-dna"	"chr7:81992231-81992246"	""	""	""
"z-dna"	"chr7:81992540-81992553"	""	""	""
"z-dna"	"chr7:81992567-81992582"	""	""	""
"z-dna"	"chr7:82167035-82167050"	""	""	""
"z-dna"	"chr7:82174821-82174840"	""	""	""
"z-dna"	"chr7:82174871-82174890"	""	""	""
"z-dna"	"chr7:82175022-82175041"	""	""	""
"z-dna"	"chr7:82335581-82335600"	""	""	""
"z-dna"	"chr7:82335619-82335634"	""	""	""
"z-dna"	"chr7:82335657-82335676"	""	""	""
"z-dna"	"chr7:82335992-82336005"	""	""	""
"z-dna"	"chr7:82467964-82468012"	""	""	""
"z-dna"	"chr7:82540336-82540353"	""	""	""
"z-dna"	"chr7:82867628-82867647"	""	""	""
"z-dna"	"chr7:82869871-82869887"	""	""	""
"z-dna"	"chr7:82870211-82870234"	""	""	""
"z-dna"	"chr7:83098456-83098488"	"miR-210 (1)"	"miR-377 (1)"	""
"z-dna"	"chr7:83098522-83098548"	""	"miR-342 (1), miR-377 (1)"	""
"z-dna"	"chr7:83098678-83098703"	""	""	""
"z-dna"	"chr7:83333454-83333469"	""	""	""
"z-dna"	"chr7:8342851-8342868"	""	""	""
"z-dna"	"chr7:8348581-8348594"	""	""	""
"z-dna"	"chr7:8348621-8348641"	""	""	""
"z-dna"	"chr7:84085216-84085236"	""	""	""
"z-dna"	"chr7:84086472-84086485"	""	""	""
"z-dna"	"chr7:84163414-84163443"	""	""	""
"z-dna"	"chr7:84224376-84224393"	""	""	""
"z-dna"	"chr7:84410050-84410063"	""	"miR-744 (1)"	""
"z-dna"	"chr7:84410071-84410093"	""	""	""
"z-dna"	"chr7:84529065-84529083"	""	""	""
"z-dna"	"chr7:84801140-84801155"	""	""	""
"z-dna"	"chr7:84807593-84807640"	""	""	""
"z-dna"	"chr7:84812765-84812779"	"miR-455 (1)"	""	""
"z-dna"	"chr7:84872744-84872760"	""	""	""
"z-dna"	"chr7:84891384-84891401"	""	""	""
"z-dna"	"chr7:85052480-85052493"	""	""	""
"z-dna"	"chr7:85138876-85138945"	""	"miR-342 (2), miR-377 (2)"	""
"z-dna"	"chr7:85138998-85139042"	""	""	""
"z-dna"	"chr7:85158161-85158178"	""	""	""
"z-dna"	"chr7:85279325-85279338"	""	""	""
"z-dna"	"chr7:85285744-85285757"	""	""	""
"z-dna"	"chr7:85865741-85865829"	""	"miR-210 (1)"	""
"z-dna"	"chr7:85979250-85979331"	"miR-329/362 (1)"	""	""
"z-dna"	"chr7:86676758-86676775"	""	""	""
"z-dna"	"chr7:86898042-86898060"	""	""	""
"z-dna"	"chr7:87246628-87246641"	"miR-744 (1)"	""	""
"z-dna"	"chr7:87523715-87523732"	""	""	""
"z-dna"	"chr7:87759284-87759361"	""	"miR-210 (2)"	""
"z-dna"	"chr7:87759366-87759417"	""	"miR-210 (2)"	""
"z-dna"	"chr7:87759425-87759487"	""	"miR-210 (1)"	""
"z-dna"	"chr7:87861844-87861861"	""	""	""
"z-dna"	"chr7:88228876-88228906"	""	""	""
"z-dna"	"chr7:88410502-88410520"	""	""	""
"z-dna"	"chr7:88822531-88822567"	""	""	""
"z-dna"	"chr7:88952139-88952158"	""	""	""
"z-dna"	"chr7:89250748-89250765"	""	""	""
"z-dna"	"chr7:89517355-89517372"	""	""	""
"z-dna"	"chr7:89517507-89517525"	""	""	""
"z-dna"	"chr7:89518020-89518033"	""	""	""
"z-dna"	"chr7:89573678-89573693"	""	"miR-455 (1)"	""
"z-dna"	"chr7:89632993-89633006"	""	""	""
"z-dna"	"chr7:89800332-89800355"	"miR-493 (1)"	"miR-493 (1)"	"miR-493"
"z-dna"	"chr7:89800490-89800538"	""	""	""
"z-dna"	"chr7:89950706-89950720"	""	""	""
"z-dna"	"chr7:90302302-90302325"	""	""	""
"z-dna"	"chr7:90302487-90302502"	""	""	""
"z-dna"	"chr7:90482362-90482415"	"miR-342 (1), miR-377 (1)"	"miR-210 (1)"	""
"z-dna"	"chr7:90482442-90482467"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr7:90482494-90482530"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr7:90482536-90482569"	""	""	""
"z-dna"	"chr7:92956701-92956730"	""	""	""
"z-dna"	"chr7:93056153-93056195"	""	""	""
"z-dna"	"chr7:93056217-93056242"	""	"miR-210 (1)"	""
"z-dna"	"chr7:93056281-93056313"	""	""	""
"z-dna"	"chr7:93056325-93056352"	"miR-329/362 (1)"	"miR-210 (1)"	""
"z-dna"	"chr7:93056388-93056420"	""	""	""
"z-dna"	"chr7:93056436-93056496"	"miR-329/362 (2)"	"miR-218 (1)"	""
"z-dna"	"chr7:93056508-93056551"	""	""	""
"z-dna"	"chr7:93056563-93056581"	""	""	""
"z-dna"	"chr7:93056588-93056622"	""	""	""
"z-dna"	"chr7:93056653-93056696"	""	""	""
"z-dna"	"chr7:93056721-93056759"	""	""	""
"z-dna"	"chr7:93056771-93056801"	""	"miR-210 (1)"	""
"z-dna"	"chr7:93080188-93080206"	""	""	""
"z-dna"	"chr7:93329970-93329991"	""	""	""
"z-dna"	"chr7:9335361-9335376"	""	""	""
"z-dna"	"chr7:94950424-94950439"	""	"miR-455 (1)"	""
"z-dna"	"chr7:95148190-95148217"	""	""	""
"z-dna"	"chr7:95148227-95148295"	""	""	""
"z-dna"	"chr7:95680240-95680266"	""	""	""
"z-dna"	"chr7:95795868-95795957"	""	"miR-210 (3)"	""
"z-dna"	"chr7:96209925-96209958"	"miR-210 (1)"	""	""
"z-dna"	"chr7:96210076-96210102"	"miR-329/362 (1)"	""	""
"z-dna"	"chr7:96210200-96210221"	""	""	""
"z-dna"	"chr7:96210939-96210952"	""	""	""
"z-dna"	"chr7:96211260-96211281"	""	""	""
"z-dna"	"chr7:96323410-96323427"	""	""	""
"z-dna"	"chr7:96325560-96325575"	""	""	""
"z-dna"	"chr7:97081650-97081687"	""	""	""
"z-dna"	"chr7:97081766-97081783"	""	""	""
"z-dna"	"chr7:97325531-97325551"	""	""	""
"z-dna"	"chr7:97325559-97325573"	""	""	""
"z-dna"	"chr7:97325659-97325681"	""	""	""
"z-dna"	"chr7:97325708-97325724"	""	""	""
"z-dna"	"chr7:97325818-97325837"	""	""	""
"z-dna"	"chr7:98178003-98178020"	""	""	""
"z-dna"	"chr7:98194077-98194092"	""	""	""
"z-dna"	"chr7:98194220-98194233"	""	""	""
"z-dna"	"chr7:98360163-98360178"	""	""	""
"z-dna"	"chr7:98360764-98360779"	""	""	""
"z-dna"	"chr7:98360909-98360924"	""	"miR-210 (1)"	""
"z-dna"	"chr7:98361645-98361688"	""	""	""
"z-dna"	"chr7:98509990-98510032"	""	""	""
"z-dna"	"chr7:98510038-98510055"	""	""	""
"z-dna"	"chr7:98510064-98510107"	"miR-142 (1)"	""	""
"z-dna"	"chr7:98526497-98526511"	""	""	""
"z-dna"	"chr7:98528125-98528141"	""	""	""
"z-dna"	"chr7:98528159-98528187"	""	""	""
"z-dna"	"chr7:98835144-98835159"	""	""	""
"z-dna"	"chr7:98835186-98835201"	""	""	""
"z-dna"	"chr7:98835570-98835616"	""	"miR-377 (1)"	""
"z-dna"	"chr7:98839008-98839025"	"miR-873 (1)"	""	""
"z-dna"	"chr7:98839090-98839108"	""	""	""
"z-dna"	"chr7:98866907-98866980"	""	"miR-377 (1)"	""
"z-dna"	"chr7:99238447-99238462"	""	""	""
"z-dna"	"chr7:99267729-99267752"	""	""	""
"z-dna"	"chr7:99268620-99268635"	""	""	""
"z-dna"	"chr7:99269237-99269250"	""	""	""
"z-dna"	"chr7:99424510-99424556"	""	"miR-377 (1)"	""
"z-dna"	"chr7:99535421-99535486"	""	"miR-138 (1)"	""
"z-dna"	"chr7:99535520-99535583"	"miR-330 (1), miR-342 (1)"	"miR-760 (1)"	""
"z-dna"	"chr7:99535819-99535840"	"miR-491 (1)"	""	""
"z-dna"	"chr7:99563753-99563768"	""	""	""
"z-dna"	"chr7:99625543-99625562"	""	""	""
"z-dna"	"chr7:99625833-99625848"	""	""	""
"z-dna"	"chr7:99625857-99625875"	""	""	""
"z-dna"	"chr7:99626031-99626044"	""	""	""
"z-dna"	"chr7:99626362-99626375"	""	""	""
"z-dna"	"chr7:99626449-99626466"	""	""	""
"z-dna"	"chr7:99626630-99626646"	"miR-744 (1)"	""	""
"z-dna"	"chr7:99917393-99917408"	""	""	""
"z-dna"	"chr7:99917459-99917475"	""	""	""
"z-dna"	"chr8:100186842-100186895"	""	""	""
"z-dna"	"chr8:100598441-100598456"	""	"miR-455 (1)"	""
"z-dna"	"chr8:100599986-100600003"	""	""	""
"z-dna"	"chr8:100902662-100902675"	""	""	""
"z-dna"	"chr8:101106438-101106451"	""	""	""
"z-dna"	"chr8:10131825-10131842"	"miR-18 (1)"	""	""
"z-dna"	"chr8:10135718-10135773"	""	"miR-210 (1)"	""
"z-dna"	"chr8:101550834-101550854"	""	""	""
"z-dna"	"chr8:10185782-10185802"	""	""	""
"z-dna"	"chr8:10190567-10190634"	""	""	""
"z-dna"	"chr8:10190686-10190721"	""	""	""
"z-dna"	"chr8:10190753-10190781"	""	""	""
"z-dna"	"chr8:10190791-10190834"	""	"miR-342 (1), miR-377 (1)"	""
"z-dna"	"chr8:101966820-101966837"	"miR-147 (1)"	""	""
"z-dna"	"chr8:102089771-102089809"	"miR-210 (1)"	""	""
"z-dna"	"chr8:102089814-102089859"	""	""	""
"z-dna"	"chr8:10213147-10213182"	"miR-329/362 (1)"	""	""
"z-dna"	"chr8:102498688-102498729"	"miR-210 (1)"	"miR-377 (1)"	""
"z-dna"	"chr8:102784473-102784488"	""	""	""
"z-dna"	"chr8:102902462-102902515"	""	"miR-210 (1)"	""
"z-dna"	"chr8:10305894-10305913"	""	""	""
"z-dna"	"chr8:10372420-10372439"	""	""	""
"z-dna"	"chr8:103863345-103863409"	""	"miR-210 (1)"	""
"z-dna"	"chr8:103866843-103866904"	""	""	""
"z-dna"	"chr8:103867098-103867136"	""	"miR-342 (1), miR-377 (1)"	""
"z-dna"	"chr8:103867140-103867174"	""	"miR-342 (1), miR-377 (1)"	""
"z-dna"	"chr8:103867186-103867212"	"miR-218 (1)"	""	""
"z-dna"	"chr8:103867232-103867258"	"miR-218 (1)"	""	""
"z-dna"	"chr8:103867278-103867334"	""	"miR-342 (1), miR-377 (1)"	""
"z-dna"	"chr8:10405208-10405240"	""	""	""
"z-dna"	"chr8:10405249-10405307"	"miR-210 (1)"	"miR-329/362 (1)"	""
"z-dna"	"chr8:10407616-10407642"	""	"miR-210 (1)"	""
"z-dna"	"chr8:10407965-10408040"	""	""	""
"z-dna"	"chr8:104148158-104148175"	"miR-147 (1)"	""	""
"z-dna"	"chr8:104170842-104170855"	""	"miR-210 (1)"	""
"z-dna"	"chr8:104310107-104310122"	""	""	""
"z-dna"	"chr8:104395848-104395865"	""	""	""
"z-dna"	"chr8:104541211-104541227"	""	""	""
"z-dna"	"chr8:104541276-104541294"	""	""	""
"z-dna"	"chr8:104541300-104541317"	""	""	""
"z-dna"	"chr8:10455604-10455634"	""	""	""
"z-dna"	"chr8:104746797-104746812"	""	"miR-455 (1)"	""
"z-dna"	"chr8:105268467-105268480"	""	""	""
"z-dna"	"chr8:105268527-105268546"	""	""	""
"z-dna"	"chr8:105268774-105268795"	""	""	""
"z-dna"	"chr8:105268829-105268844"	""	""	""
"z-dna"	"chr8:105268909-105268925"	""	""	""
"z-dna"	"chr8:105269044-105269060"	""	""	""
"z-dna"	"chr8:105269732-105269749"	""	""	""
"z-dna"	"chr8:105270877-105270894"	""	""	""
"z-dna"	"chr8:105276686-105276703"	""	""	""
"z-dna"	"chr8:105279222-105279235"	""	""	""
"z-dna"	"chr8:105290322-105290338"	""	""	""
"z-dna"	"chr8:105374680-105374695"	""	""	""
"z-dna"	"chr8:105518909-105518924"	""	""	""
"z-dna"	"chr8:105593034-105593053"	""	""	""
"z-dna"	"chr8:105593108-105593133"	""	""	""
"z-dna"	"chr8:105593187-105593204"	""	""	""
"z-dna"	"chr8:105593259-105593277"	""	""	""
"z-dna"	"chr8:105593281-105593318"	""	""	""
"z-dna"	"chr8:105593360-105593375"	""	""	""
"z-dna"	"chr8:105593379-105593400"	""	""	""
"z-dna"	"chr8:105709545-105709562"	""	""	""
"z-dna"	"chr8:105959867-105959887"	""	""	""
"z-dna"	"chr8:105979000-105979016"	""	""	""
"z-dna"	"chr8:105979252-105979271"	""	""	""
"z-dna"	"chr8:106136331-106136352"	"miR-296 (1)"	""	""
"z-dna"	"chr8:106136791-106136806"	""	""	""
"z-dna"	"chr8:106136811-106136828"	""	""	""
"z-dna"	"chr8:106137074-106137089"	""	""	""
"z-dna"	"chr8:106336606-106336641"	"miR-151a (1)"	""	""
"z-dna"	"chr8:106337846-106337862"	""	""	""
"z-dna"	"chr8:106511692-106511707"	""	""	""
"z-dna"	"chr8:106603706-106603719"	""	""	""
"z-dna"	"chr8:106603747-106603760"	""	""	""
"z-dna"	"chr8:106603962-106603976"	"miR-210 (1)"	""	""
"z-dna"	"chr8:10667849-10667863"	"miR-455 (1)"	""	""
"z-dna"	"chr8:106936070-106936085"	""	""	""
"z-dna"	"chr8:106936289-106936306"	""	""	""
"z-dna"	"chr8:106936364-106936384"	""	"miR-17/20/93/106/519d (1)"	""
"z-dna"	"chr8:107226830-107226867"	""	"miR-342 (1), miR-377 (1)"	""
"z-dna"	"chr8:107226968-107226997"	""	"miR-377 (1)"	""
"z-dna"	"chr8:107227004-107227027"	""	""	""
"z-dna"	"chr8:107232473-107232488"	"miR-329/362 (1)"	""	""
"z-dna"	"chr8:107374794-107374864"	""	""	""
"z-dna"	"chr8:107614303-107614380"	""	"miR-329/362 (1), miR-501/502 (1)"	""
"z-dna"	"chr8:107614460-107614479"	""	""	""
"z-dna"	"chr8:10803156-10803171"	""	"miR-210 (1)"	""
"z-dna"	"chr8:10803246-10803266"	""	""	""
"z-dna"	"chr8:10803286-10803315"	"miR-342 (1), miR-377 (1)"	""	""
"z-dna"	"chr8:108211921-108211936"	"miR-329/362 (1)"	""	""
"z-dna"	"chr8:108212048-108212069"	""	""	""
"z-dna"	"chr8:108212109-108212126"	"miR-329/362 (1)"	""	""
"z-dna"	"chr8:108212144-108212179"	""	""	""
"z-dna"	"chr8:108552053-108552091"	""	""	""
"z-dna"	"chr8:108552103-108552175"	""	""	""
"z-dna"	"chr8:108660959-108660986"	""	""	""
"z-dna"	"chr8:108696364-108696382"	""	""	""
"z-dna"	"chr8:108696529-108696548"	""	"miR-324 (1)"	""
"z-dna"	"chr8:108703665-108703680"	""	"miR-218 (1)"	""
